hide;lat;lon;status;closed;name;addr;town;posttown;county;postcode;prev;img;url;gsv
;51.2362670345;-0.3180691939;dead;1988;Punchbowl;Reigate Road;;Dorking;Surrey;RH4 1QB ;;http://www.closedpubs.co.uk/surrey/pics/dorking_punchbowl.jpg;https://whatpub.com/pubs/REI/100/punchbowl-dorking;https://www.google.co.uk/maps/@51.2366195,-0.3178748,3a,33.9y,200.1h,92.3t/data=!3m6!1e1!3m4!1sL2e0H73J3e5akaHbflvPJg!2e0!7i13312!8i6656
;51.2381772655;-0.3123322418;open;;Watermill;Reigate Road;;Dorking;Surrey;RH4 1NN ;;https://whatpub.com/img/REI/105/watermill-inn-dorking/298/224/1000001;https://whatpub.com/pubs/REI/105/watermill-inn-dorking;https://www.google.co.uk/maps/@51.237892,-0.3126047,3a,45.5y,28.25h,88.37t/data=!3m6!1e1!3m4!1sHRIZ0LaLbbb0lVXYA1UNSA!2e0!7i13312!8i6656
;51.2231749451;-0.3324224403;gone;2012;Bush;10 Horsham Road;;Dorking;Surrey;RH4 2JL ;;http://www.closedpubs.co.uk/surrey/pics/dorking_bush.jpg|https://whatpub.com/img/REI/85/bush-dorking/298/224/1;https://whatpub.com/pubs/REI/85/bush-dorking;https://www.google.co.uk/maps/@51.2231281,-0.3322291,3a,75y,293.3h,85.51t/data=!3m6!1e1!3m4!1sAbXTmlywKbX0-g-QEsuCag!2e0!7i13312!8i6656
;51.2179772389;-0.329072332;gone;2004;Windmill;Horsham Road;;Dorking;Surrey;RH4 2LL ;;http://www.closedpubs.co.uk/surrey/pics/dorking_windmill.jpg|https://whatpub.com/img/REI/109/windmill-dorking/298/224/1;https://whatpub.com/pubs/REI/109/windmill-dorking;https://www.google.co.uk/maps/@51.2179296,-0.3289115,3a,89.8y,263.19h,89.3t/data=!3m6!1e1!3m4!1sCiOOPLprLLpfvldQjhWFXA!2e0!7i13312!8i6656
;51.2312393693;-0.3332322845;open;;Bull's Head;11 South Street;;Dorking;Surrey;RH4 2DY ;;https://whatpub.com/img/REI/461/bulls-head-dorking/200/150;https://whatpub.com/pubs/REI/461/bulls-head-dorking;https://www.google.co.uk/maps/@51.2312086,-0.3334178,3a,41y,67.91h,93.68t/data=!3m6!1e1!3m4!1swSaxOpP8kd9anUPZi7ISUw!2e0!7i13312!8i6656
;51.2285936562;-0.3345485649;open;;Cricketers;81 South Street;;Dorking;Surrey;RH4 2JU ;;https://whatpub.com/img/REI/87/cricketers-dorking/200/150;https://whatpub.com/pubs/REI/87/cricketers-dorking;https://www.google.co.uk/maps/@51.2287197,-0.3345946,3a,75y,152.66h,91.72t/data=!3m6!1e1!3m4!1s52eKWoe9UzVM93LEnshZ8Q!2e0!7i13312!8i6656
;51.227292386;-0.3349798291;open;;Queen's Head;1 Horsham Road;;Dorking;Surrey;RH4 2JS ;;https://whatpub.com/img/REI/101/queens-head-dorking/200/150;https://whatpub.com/pubs/REI/101/queens-head-dorking;https://www.google.co.uk/maps/@51.227203,-0.3351105,3a,75y,48.17h,94.4t/data=!3m6!1e1!3m4!1sSkJUKxPSPMrYPcPmq0R5Fg!2e0!7i13312!8i6656
;51.2325245966;-0.3291615303;open;;White Hart;5 Dene Street;;Dorking;Surrey;RH4 2DR ;;https://whatpub.com/img/REI/106/white-hart-dorking/298/224/1;https://whatpub.com/pubs/REI/106/white-hart-dorking;https://www.google.co.uk/maps/@51.2324245,-0.3291371,3a,75y,356.5h,89.73t/data=!3m6!1e1!3m4!1s4_cfjnIToddnmr4W3RZ9Pw!2e0!7i13312!8i6656
;51.2320146847;-0.328787219;open;;Red Bar & Lounge;45 Dene Street;;Dorking;Surrey;RH4 2DW ;Beehive|Jolly Butchers;http://www.closedpubs.co.uk/surrey/pics/dorking_beehive.JPG|https://whatpub.com/img/REI/81/red-bar-lounge-dorking/298/224/1;https://whatpub.com/pubs/REI/81/red-bar-lounge-dorking;https://www.google.co.uk/maps/@51.2320482,-0.3285711,3a,75y,256.42h,85.12t/data=!3m6!1e1!3m4!1sn2sI3To_V-a9OT5mzxSUJQ!2e0!7i13312!8i6656
;51.230963831;-0.3341571096;open;;Spotted Dog;42 South Street;;Dorking;Surrey;RH4 2HQ ;;https://whatpub.com/img/REI/102/spotted-dog-dorking/200/150;https://whatpub.com/pubs/REI/102/spotted-dog-dorking;https://www.google.co.uk/maps/@51.2308477,-0.3340773,3a,75y,351.08h,91.89t/data=!3m6!1e1!3m4!1sEDBPkijzbTNR27vjd1KVEA!2e0!7i13312!8i6656
;51.2249600882;-0.3353500276;open;;Falkland Arms;60 Falkland Road;;Dorking;Surrey;RH4 3AD ;;https://whatpub.com/img/REI/89/falkland-arms-dorking/200/150;https://whatpub.com/pubs/REI/89/falkland-arms-dorking;https://www.google.co.uk/maps/@51.2249245,-0.3350063,3a,50.1y,277.83h,95.93t/data=!3m6!1e1!3m4!1sMITRB-0w5o5BUrd6UPphpg!2e0!7i13312!8i6656
