_id;hide;kind;vague;lat;lon;status;closed;name;addr;town;posttown;county;postcode;prev;img;url;listed;gsv
gu68-cranley-hotel;;;;51.143673;-0.498061;open;;Cranley Hotel;The Common ;;Cranleigh ;Surrey;GU6 8SQ ;;https://whatpub.com/img/REI/74/cranley-hotel-cranleigh/298/224/1;https://whatpub.com/pubs/REI/74/cranley-hotel-cranleigh;;https://www.google.co.uk/maps/@51.1438535,-0.497917,3a,75y,213.41h,88.04t/data=!3m6!1e1!3m4!1sxaoE68L22c0WG4zL5wcIoA!2e0!7i13312!8i6656
gu68-greyhound;;;;51.141104;-0.488366;bone;1950s;Greyhound  ;The Street ;;Cranleigh ;Surrey;;;;http://www.closedpubs.co.uk/surrey/cranleigh_greyhound.html;;https://www.google.co.uk/maps/@51.1409352,-0.4883618,3a,75y,0.52h,85.59t/data=!3m6!1e1!3m4!1sVEQ1_p8ZRD6jJAQSmVgOig!2e0!7i13312!8i6656
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
gu236-anchor;;;;51.299504;-0.493366;open;;Anchor;High Street ;Ripley ;Woking;Surrey;GU23 6AE ;;https://whatpub.com/img/SHB/23/anchor-ripley/298/224/71519;https://whatpub.com/pubs/SHB/23/anchor-ripley;;https://www.google.co.uk/maps/@51.29961,-0.4933357,3a,89.9y,151.11h,87.39t/data=!3m6!1e1!3m4!1sddZgxkE9RKh--bO4k3miPw!2e0!7i13312!8i6656
gu236-half-moon;;;;51.301269;-0.490142;open;;Half Moon;High Street ;Ripley ;Woking;Surrey;GU23 6AN ;;https://whatpub.com/img/SHB/280/half-moon-ripley/298/224/71522;https://whatpub.com/pubs/SHB/280/half-moon-ripley;;https://www.google.co.uk/maps/@51.3012515,-0.4900197,3a,75y,306.09h,87.81t/data=!3m6!1e1!3m4!1ss7pSlfJJuEV8VYsBfT8fGg!2e0!7i13312!8i6656
gu236-ship;;;;51.300421;-0.491945;open;;Ship;High Street ;Ripley ;Woking;Surrey;GU23 6AZ ;;https://whatpub.com/img/SHB/565/ship-ripley/298/224/74244;https://whatpub.com/pubs/SHB/565/ship-ripley;;https://www.google.co.uk/maps/@51.3005313,-0.4921145,3a,37.3y,124.47h,89.94t/data=!3m6!1e1!3m4!1s8GRSoJIW0ajSEWc51bb0Cg!2e0!7i13312!8i6656
gu236-talbot;;hotel;;51.301337;-0.489209;open;;Talbot;High Street ;Ripley ;Woking;Surrey;GU23 6BB ;;https://whatpub.com/img/SHB/616/talbot-ripley/298/224/71529;https://whatpub.com/pubs/SHB/616/talbot-ripley;;https://www.google.co.uk/maps/@51.3014611,-0.4892722,3a,73.1y,167.68h,90.31t/data=!3m6!1e1!3m4!1sqWwiLvm8SG_D5CVhi78zZQ!2e0!7i13312!8i6656
gu236-seven-stars;;;;51.302146;-0.509477;open;;Seven Stars;Newark Lane ;Ripley ;Woking;Surrey;GU23 6DL ;;;https://whatpub.com/pubs/SHB/561/seven-stars-ripley;;https://www.google.co.uk/maps/@51.3022074,-0.5092497,3a,61.2y,259.36h,90.39t/data=!3m6!1e1!3m4!1sJY2d-Cp1IjIKmVyVg-lTfA!2e0!7i13312!8i6656
gu236-jovial-sailor;;;;51.289241;-0.502203;open;;Jovial Sailor;Portsmouth Road ;Ripley ;Woking;Surrey;GU23 6EZ ;;https://whatpub.com/img/SHB/335/jovial-sailor-ripley/298/224/71523;https://whatpub.com/pubs/SHB/335/jovial-sailor-ripley;;https://www.google.co.uk/maps/@51.2894597,-0.5021846,3a,75y,134.24h,90.24t/data=!3m6!1e1!3m4!1sy11KADoU1uWWp9jOo2sB_w!2e0!7i13312!8i6656
gu236-sadlers-arms;;;;51.29;-0.50965;open;;Saddlers Arms;Send Marsh Road ;Send ;Woking;Surrey;GU23 6JQ ;;https://whatpub.com/img/SHB/554/saddlers-arms-send/298/224/71527;https://whatpub.com/pubs/SHB/554/saddlers-arms-send;;https://www.google.co.uk/maps/@51.2898091,-0.5096911,3a,51.7y,20.64h,90.94t/data=!3m6!1e1!3m4!1sQzhhUy3I_jqgSrpdaAzZ5w!2e0!7i13312!8i6656
gu236-white-hart-2;;;;51.300964;-0.490491;gone;1980s;White Hart [2];High Street ;Ripley ;Woking;Surrey;GU23 6ND ;Spread Eagle ;http://www.closedpubs.co.uk/surrey/pics/ripley_whitehart.JPG;http://www.closedpubs.co.uk/surrey/ripley_whitehart2.html|https://whatpub.com/pubs/SHB/680/white-hart-ripley;;https://www.google.co.uk/maps/@51.3010605,-0.4907598,3a,58.6y,110.67h,91t/data=!3m6!1e1!3m4!1sTLN0C_D_JRqFKTsnk5lvWg!2e0!7i13312!8i6656
